№,YouTube ID,Исходное название,Ссылка,Вкладка,Текущие плейлисты,Основной плейлист,Порядок в плейлисте,Дополнительные плейлисты,Визуальная рубрика,Акцент HEX,Язык разработки,Формат,Номер урока,Текст обложки — предложение,Статус обложки,Что проверить,Примечания,Готовый файл,Основание классификации
11,0M9TZE58Ryg,Автоматизированный стенд тестирования IoT устройств,https://www.youtube.com/watch?v=0M9TZE58Ryg,Видео,MOKO - Новинки видео; MOKO - решения и обзоры,"Автоматизация измерений — стенды, испытания и поверка",5,MOKO SE — возможности и инструкции,Практика · Испытания,#55C9FF,Не подтверждён / не применимо,Видео,,Тестируем IoT,В очереди,Тематика по метаданным; содержание не просмотрено полностью,,,"Название, текущие плейлисты и исходная обложка"
12,i3N3CFncdw8,Стрим #1: Делаем основу драйвера и переделываем скрипт Rohde & Schwarz,https://www.youtube.com/watch?v=i3N3CFncdw8,Видео,MOKO - Новинки видео; MOKO - решения и обзоры,"Разработка ПО — практика, инструменты и стримы",6,Стримы MOKO — разработка и измерения,Разработка · Практика,#FF9A48,Не подтверждён / не применимо,Стрим,,Основа драйвера,В очереди,Тематика по метаданным; содержание не просмотрено полностью,Не ставить Python/LabVIEW на обложке без подтверждения языка по содержанию.,,"Название, текущие плейлисты и исходная обложка"
13,MSGRIN6oUZQ,Анонс управление сторонними приложениями с помощью AutoIt через MOKO SE,https://www.youtube.com/watch?v=MSGRIN6oUZQ,Видео,MOKO - Новинки видео; MOKO - решения и обзоры,MOKO SE — возможности и инструкции,14,,MOKO SE · Инструкции,#55D6C2,Не подтверждён / не применимо,Видео,,AutoIt + MOKO SE,В очереди,Тематика по метаданным; содержание не просмотрено полностью,Проверить версию программы и актуальность интерфейса перед финальной обложкой.,,"Название, текущие плейлисты и исходная обложка"
14,tpdw4fKgaEg,Приобретен новый станок для резки металла XT-H1530,https://www.youtube.com/watch?v=tpdw4fKgaEg,Видео,MOKO - Новинки видео; MOKO - решения и обзоры,Электроника и оборудование — проекты MOKO,1,,Практика · Электроника,#55C9FF,Не подтверждён / не применимо,Видео,,Новый станок XT-H1530,В очереди,Тематика по метаданным; содержание не просмотрено полностью,,,"Название, текущие плейлисты и исходная обложка"
15,CllBnT_-hKs,Автоматизированная поверка мультиметра на базе MOKO SE - демо проект,https://www.youtube.com/watch?v=CllBnT_-hKs,Видео,MOKO - Новинки видео; MOKO - решения и обзоры,"Автоматизация измерений — стенды, испытания и поверка",2,MOKO SE — возможности и инструкции,Практика · Испытания,#55C9FF,Не подтверждён / не применимо,Видео,,Поверка мультиметра,В очереди,Тематика по метаданным; содержание не просмотрено полностью,,,"Название, текущие плейлисты и исходная обложка"
16,HEmNyEcmrZY,Урок №14. Дерево. Одноименные регионы и хэшы,https://www.youtube.com/watch?v=HEmNyEcmrZY,Видео,Уроки Python - MOKO SE,Python — автоматизация в MOKO SE,21,,Уроки Python,#B8EB55,Python,Урок,14,Дерево данных,"Готово · новая партия 02, проверить",,,thumbnails/HEmNyEcmrZY.jpg,Текущий плейлист Python + исходная обложка
17,KmLxID8LONo,Урок №2.2. Утилиты. Подключение к MOKO SE,https://www.youtube.com/watch?v=KmLxID8LONo,Видео,Разработка драйверов и утилит - MOKO SE,"LabVIEW — драйверы, утилиты и плагины",5,"Разработка ПО — практика, инструменты и стримы",Разработка · LabVIEW,#FF9A48,LabVIEW,Урок,2.2,Подключаем утилиту,В очереди,,,,Название LabVIEW или логотип LabVIEW на исходной обложке
18,J_5qLMX5uNs,Урок №2.1. Утилиты. Разработка и компиляция,https://www.youtube.com/watch?v=J_5qLMX5uNs,Видео,Разработка драйверов и утилит - MOKO SE,"LabVIEW — драйверы, утилиты и плагины",4,"Разработка ПО — практика, инструменты и стримы",Разработка · LabVIEW,#FF9A48,LabVIEW,Урок,2.1,Создаём утилиту,В очереди,,,,Название LabVIEW или логотип LabVIEW на исходной обложке
19,shP4XNNsC6Q,Урок №1.2. Драйверы. Подключение к MOKO SE,https://www.youtube.com/watch?v=shP4XNNsC6Q,Видео,Разработка драйверов и утилит - MOKO SE,"LabVIEW — драйверы, утилиты и плагины",3,"Разработка ПО — практика, инструменты и стримы",Разработка · LabVIEW,#FF9A48,LabVIEW,Урок,1.2,Подключаем драйвер,"Готово · новая партия 02, проверить",,,thumbnails/shP4XNNsC6Q.jpg,Название LabVIEW или логотип LabVIEW на исходной обложке
20,EsLUSn9RDL4,Урок №1.1. Драйверы. Разработка и компиляция,https://www.youtube.com/watch?v=EsLUSn9RDL4,Видео,Разработка драйверов и утилит - MOKO SE,"LabVIEW — драйверы, утилиты и плагины",2,"Разработка ПО — практика, инструменты и стримы",Разработка · LabVIEW,#FF9A48,LabVIEW,Урок,1.1,Создаём драйвер,Готово · утверждённый образец,,,thumbnails/EsLUSn9RDL4.jpg,Название LabVIEW или логотип LabVIEW на исходной обложке
21,zv4wZlanZzg,Урок №0. Введение. Установка ПО для разработки утилит и драйверов,https://www.youtube.com/watch?v=zv4wZlanZzg,Видео,Разработка драйверов и утилит - MOKO SE,"LabVIEW — драйверы, утилиты и плагины",1,"Разработка ПО — практика, инструменты и стримы",Разработка · LabVIEW,#FF9A48,LabVIEW,Урок,0,Среда разработки,В очереди,,,,Название LabVIEW или логотип LabVIEW на исходной обложке
22,E2Wj5L17Oxo,"Урок №13.2. Плагин MOKO Clicker. Команды Screenshot, PngPath и PngFile",https://www.youtube.com/watch?v=E2Wj5L17Oxo,Видео,Уроки Python - MOKO SE,Python — автоматизация в MOKO SE,20,,Уроки Python,#B8EB55,Python,Урок,13.2,Снимки экрана,В очереди,,,,Текущий плейлист Python + исходная обложка
23,kuzcOBW11rk,Урок №13.1. Плагин MOKO Clicker. Команды управления кнопками мыши и курсором,https://www.youtube.com/watch?v=kuzcOBW11rk,Видео,Уроки Python - MOKO SE,Python — автоматизация в MOKO SE,19,,Уроки Python,#B8EB55,Python,Урок,13.1,Управление мышью,В очереди,,,,Текущий плейлист Python + исходная обложка
24,aSjRYZWMfjc,"Урок №12.3. Плагин MOKO Graph. Команды Autoscale, Screenshot и Legend",https://www.youtube.com/watch?v=aSjRYZWMfjc,Видео,Уроки Python - MOKO SE,Python — автоматизация в MOKO SE,18,,Уроки Python,#B8EB55,Python,Урок,12.3,Настройка графиков,В очереди,,,,Текущий плейлист Python + исходная обложка
25,jq_D-9nsomg,"Урок №12.2. Плагин MOKO Graph. Команды HideLine, ShowLine, ShowOnlyLine и DeleteLine",https://www.youtube.com/watch?v=jq_D-9nsomg,Видео,Уроки Python - MOKO SE,Python — автоматизация в MOKO SE,17,,Уроки Python,#B8EB55,Python,Урок,12.2,Управление линиями,В очереди,,,,Текущий плейлист Python + исходная обложка
26,b5zjy0PHU0s,"Урок №12.1. Плагин MOKO Graph. Добавление графиков и их изменение, подпись осей и очистка графика",https://www.youtube.com/watch?v=b5zjy0PHU0s,Видео,Уроки Python - MOKO SE,Python — автоматизация в MOKO SE,16,,Уроки Python,#B8EB55,Python,Урок,12.1,Графики в MOKO SE,Готово · утверждённый образец,,,thumbnails/b5zjy0PHU0s.jpg,Текущий плейлист Python + исходная обложка
27,-WRagVBYLxg,Урок №11.3. Архитектура проекта. Скрипт формирования протокола,https://www.youtube.com/watch?v=-WRagVBYLxg,Видео,Уроки Python - MOKO SE,Python — автоматизация в MOKO SE,15,,Уроки Python,#B8EB55,Python,Урок,11.3,Формируем протокол,В очереди,,,,Текущий плейлист Python + исходная обложка
28,Tiff450MBJ4,Урок №11.2. Архитектура проекта. Скрипты испытаний,https://www.youtube.com/watch?v=Tiff450MBJ4,Видео,Уроки Python - MOKO SE,Python — автоматизация в MOKO SE,14,,Уроки Python,#B8EB55,Python,Урок,11.2,Скрипты испытаний,В очереди,,,,Текущий плейлист Python + исходная обложка
29,egIx1gEHksA,Урок №11.1. Архитектура проекта. Регистрация образца,https://www.youtube.com/watch?v=egIx1gEHksA,Видео,Уроки Python - MOKO SE,Python — автоматизация в MOKO SE,13,,Уроки Python,#B8EB55,Python,Урок,11.1,Регистрация образца,В очереди,,,,Текущий плейлист Python + исходная обложка
30,tXsjlxHMt6Y,Урок №10. Функция Telegram. Подключение телеграм бота MOKO SE BOT и его использование,https://www.youtube.com/watch?v=tXsjlxHMt6Y,Видео,Уроки Python - MOKO SE,Python — автоматизация в MOKO SE,12,,Уроки Python,#B8EB55,Python,Урок,10,Telegram + MOKO SE,Готово · утверждённый образец,,,thumbnails/tXsjlxHMt6Y.jpg,Текущий плейлист Python + исходная обложка
31,FKGsam4DP6w,Урок №9. Функция Program. Управление MOKO SE из скрипта,https://www.youtube.com/watch?v=FKGsam4DP6w,Видео,Уроки Python - MOKO SE,Python — автоматизация в MOKO SE,11,,Уроки Python,#B8EB55,Python,Урок,9,Управление из скрипта,В очереди,,,,Текущий плейлист Python + исходная обложка
32,oUseu_82YBM,Урок №8. Функция Utility. Окно с интерфейсом для заполнения формы,https://www.youtube.com/watch?v=oUseu_82YBM,Видео,Уроки Python - MOKO SE,Python — автоматизация в MOKO SE,10,,Уроки Python,#B8EB55,Python,Урок,8,Форма ввода данных,В очереди,,,,Текущий плейлист Python + исходная обложка
33,LXg7Ql5Aye0,"Урок №7. Функция Plugin. Прорисовка графиков, подключение к БД, управление группой устройств",https://www.youtube.com/watch?v=LXg7Ql5Aye0,Видео,Уроки Python - MOKO SE,Python — автоматизация в MOKO SE,9,,Уроки Python,#B8EB55,Python,Урок,7,Работа с плагинами,В очереди,,,,Текущий плейлист Python + исходная обложка
34,S3gTxhKKBOs,Урок №6. Функция Driver. Отправка и получение данных из электронных приборов,https://www.youtube.com/watch?v=S3gTxhKKBOs,Видео,Уроки Python - MOKO SE,Python — автоматизация в MOKO SE,8,,Уроки Python,#B8EB55,Python,Урок,6,Обмен с приборами,"Готово · новая партия 03, проверить",Проверить новый макет; весь ролик не просмотрен,"Устанавливаем значения и получаем данные через функцию Driver; далее формируется протокол Word. Это Python-урок, не курс разработки LabVIEW-драйвера. Прибор — условная иллюстрация без модели и показаний.",thumbnails/S3gTxhKKBOs.jpg,Плейлист Python + исходная обложка + описание и таймкоды автора
35,oJktpGbr7WA,"Урок №5. Функция Report. Сохранение, очистка и удаление строк, таблиц и картинок",https://www.youtube.com/watch?v=oJktpGbr7WA,Видео,Уроки Python - MOKO SE,Python — автоматизация в MOKO SE,7,,Уроки Python,#B8EB55,Python,Урок,5,Создаём отчёты,"Готово · новая партия 02, проверить",,,thumbnails/oJktpGbr7WA.jpg,Текущий плейлист Python + исходная обложка
36,w9YARQn9SFs,"Урок №4. Функция Messenger. Использование разных режимов, типов и вставка картинок",https://www.youtube.com/watch?v=w9YARQn9SFs,Видео,Уроки Python - MOKO SE,Python — автоматизация в MOKO SE,6,,Уроки Python,#B8EB55,Python,Урок,4,Диалоговые окна,"Готово · новая партия 03, проверить",Проверить новый макет; весь ролик не просмотрен,"Messenger формирует окна, таймер, ввод string/boolean, выбор и изображения. Не изображать социальный мессенджер, Telegram или переписку.",thumbnails/w9YARQn9SFs.jpg,Плейлист Python + исходная обложка + описание и таймкоды автора
37,koGtgs5iNfk,Урок №3. Функция Stage. Предназначение разных типов,https://www.youtube.com/watch?v=koGtgs5iNfk,Видео,Уроки Python - MOKO SE,Python — автоматизация в MOKO SE,5,,Уроки Python,#B8EB55,Python,Урок,3,Типы сообщений,"Готово · новая партия 03, проверить",Проверить новый макет; весь ролик не просмотрен,"Исправлен прежний черновой смысл «этапы программы». В описании перечислены типы info, error, plugin, driver, report, warning. Правая карточка — схема типов, не снимок интерфейса.",thumbnails/koGtgs5iNfk.jpg,Плейлист Python + исходная обложка + описание и таймкоды автора
38,9QniN5XarQo,Урок №2. Запуск проекта. Импорт библиотеки MOKO и применение стандартных функций.,https://www.youtube.com/watch?v=9QniN5XarQo,Видео,Уроки Python - MOKO SE,Python — автоматизация в MOKO SE,4,,Уроки Python,#B8EB55,Python,Урок,2,Запускаем проект,"Готово · новая партия 03, проверить",Проверить новый макет; весь ролик не просмотрен,"Описание и главы: изменение имени скрипта, заполнение трёх скриптов и повторные запуски. Не смешивать со сборкой проекта в уроке 1.",thumbnails/9QniN5XarQo.jpg,Плейлист Python + исходная обложка + описание и таймкоды автора
39,tgIy0Ra-mn0,Урок №0.1. Разбираем предназначение всех папок в директории платформы.,https://www.youtube.com/watch?v=tgIy0Ra-mn0,Видео,Уроки Python - MOKO SE,Python — автоматизация в MOKO SE,2,,Уроки Python,#B8EB55,Python,Урок,0.1,Структура папок,"Готово · новая партия 03, проверить",Проверить новый макет; весь ролик не просмотрен,"По описанию: назначение Data, Drivers, Images, Plugins, Projects, PythonLibrary и остальных папок. Иллюстрация папок, не абстрактное дерево данных из урока 14.",thumbnails/tgIy0Ra-mn0.jpg,Плейлист Python + исходная обложка + описание и таймкоды автора
40,pzxfkmvQW2U,"Урок №1. Создание проекта: подключение скриптов, библиотек и шаблона Microsoft Word.",https://www.youtube.com/watch?v=pzxfkmvQW2U,Видео,Уроки Python - MOKO SE,Python — автоматизация в MOKO SE,3,,Уроки Python,#B8EB55,Python,Урок,1,Собираем проект,"Готово · новая партия 03, проверить",Проверить новый макет; весь ролик не просмотрен,"Подключение трёх скриптов, MOKO.py и шаблона Microsoft Word. Концептуальная схема сборки, без выдуманных настроек программы.",thumbnails/pzxfkmvQW2U.jpg,Плейлист Python + исходная обложка + описание и таймкоды автора
41,BSgXt5addDM,Урок №0. Введение. Установка MOKO SE и PyCharm,https://www.youtube.com/watch?v=BSgXt5addDM,Видео,Уроки Python - MOKO SE,Python — автоматизация в MOKO SE,1,,Уроки Python,#B8EB55,Python,Урок,0,Первый запуск,"Готово · новая партия 02, проверить",,,thumbnails/BSgXt5addDM.jpg,Текущий плейлист Python + исходная обложка
42,e_2bLrqE6sk,Контроллеры Управления и Телеметрии.  Системы телеметрии. Моноблоки.,https://www.youtube.com/watch?v=e_2bLrqE6sk,Видео,MOKO - Новинки видео; MOKO - решения и обзоры,Электроника и оборудование — проекты MOKO,2,,Практика · Электроника,#55C9FF,Не подтверждён / не применимо,Видео,,Контроллеры и телеметрия,В очереди,Тематика по метаданным; содержание не просмотрено полностью,,,"Название, текущие плейлисты и исходная обложка"
43,UO_n5resEjA,Как сделать ассоциативные файлы с программой,https://www.youtube.com/watch?v=UO_n5resEjA,Видео,MOKO - Новинки видео; MOKO - Уроки по программированию и не только,"Разработка ПО — практика, инструменты и стримы",7,,Разработка · Практика,#FF9A48,Не подтверждён / не применимо,Видео,,Открываем файл программой,В очереди,Тематика по метаданным; содержание не просмотрено полностью,,,"Название, текущие плейлисты и исходная обложка"
44,zdXMG-IOhjA,Johnny Respect - проморолик,https://www.youtube.com/watch?v=zdXMG-IOhjA,Видео,МОКО - Промо ролики,Медиапроекты MOKO — промо и съёмки,1,,Медиа · Портфолио,#B69AFF,Не подтверждён / не применимо,Промо,,Johnny Respect / промо,В очереди,Тематика по метаданным; содержание не просмотрено полностью,,,"Название, текущие плейлисты и исходная обложка"
45,hirOeoPDYvY,MOKO SE - платформа для автоматизации.,https://www.youtube.com/watch?v=hirOeoPDYvY,Видео,МОКО - Промо ролики,MOKO SE — возможности и инструкции,2,,MOKO SE · Инструкции,#55D6C2,Не подтверждён / не применимо,Видео,,Платформа автоматизации,В очереди,Тематика по метаданным; содержание не просмотрено полностью,Проверить версию программы и актуальность интерфейса перед финальной обложкой.,,"Название, текущие плейлисты и исходная обложка"
46,9IOlJ_qBQ74,MOKO SE - платформа для автоматизации. Магия.,https://www.youtube.com/watch?v=9IOlJ_qBQ74,Видео,МОКО - Промо ролики,MOKO SE — возможности и инструкции,3,,MOKO SE · Инструкции,#55D6C2,Не подтверждён / не применимо,Видео,,MOKO SE в действии,В очереди,Тематика по метаданным; содержание не просмотрено полностью,Проверить версию программы и актуальность интерфейса перед финальной обложкой.,,"Название, текущие плейлисты и исходная обложка"
47,gb45P9-3Yfk,Интеграция TELEGRAM бота в MOKO SE,https://www.youtube.com/watch?v=gb45P9-3Yfk,Видео,MOKO - Новинки видео; MOKO SE - Платформа для автоматизации измерений,MOKO SE — возможности и инструкции,13,"Разработка ПО — практика, инструменты и стримы",MOKO SE · Инструкции,#55D6C2,Не подтверждён / не применимо,Видео,,Подключаем Telegram,В очереди,Тематика по метаданным; содержание не просмотрено полностью,,,"Название, текущие плейлисты и исходная обложка"
48,VzMZ4ohlJhI,Использование картинок в Message и Report. MOKO SE,https://www.youtube.com/watch?v=VzMZ4ohlJhI,Видео,MOKO - Новинки видео; MOKO SE - Платформа для автоматизации измерений,MOKO SE — возможности и инструкции,8,,MOKO SE · Инструкции,#55D6C2,Не подтверждён / не применимо,Видео,,Изображения в отчётах,В очереди,Тематика по метаданным; содержание не просмотрено полностью,,,"Название, текущие плейлисты и исходная обложка"
49,crbctMTtlG8,Мини обзор на Моноблоки Тесла с сенсорным дисплеем.,https://www.youtube.com/watch?v=crbctMTtlG8,Видео,MOKO - Новинки видео; MOKO - решения и обзоры,Электроника и оборудование — проекты MOKO,3,,Практика · Электроника,#55C9FF,Не подтверждён / не применимо,Видео,,Сенсорные моноблоки,В очереди,Тематика по метаданным; содержание не просмотрено полностью,,,"Название, текущие плейлисты и исходная обложка"
50,WY41Ggzugy4,Презентация MOKO SE: большая не обрезанная. Знакомство и первый запуск.,https://www.youtube.com/watch?v=WY41Ggzugy4,Видео,MOKO - Новинки видео; MOKO SE - Платформа для автоматизации измерений,MOKO SE — возможности и инструкции,1,,MOKO SE · Инструкции,#55D6C2,Не подтверждён / не применимо,Видео,,Знакомство с MOKO SE,В очереди,Тематика по метаданным; содержание не просмотрено полностью,Проверить версию программы и актуальность интерфейса перед финальной обложкой.,,"Название, текущие плейлисты и исходная обложка"
51,DStpNxJKxiI,Создаем уникальную кнопку в Labview,https://www.youtube.com/watch?v=DStpNxJKxiI,Видео,MOKO - Уроки по программированию и не только,"LabVIEW — драйверы, утилиты и плагины",8,"Разработка ПО — практика, инструменты и стримы",Разработка · LabVIEW,#FF9A48,LabVIEW,Урок,,Кнопка в LabVIEW,В очереди,,,,Название LabVIEW или логотип LabVIEW на исходной обложке
52,TSAL-e7zO8Q,Делаем вместе c Johnny Respect каталог продукции МОКО.,https://www.youtube.com/watch?v=TSAL-e7zO8Q,Видео,MOKO - решения и обзоры,Медиапроекты MOKO — промо и съёмки,2,,Медиа · Портфолио,#B69AFF,Не подтверждён / не применимо,Промо,,Создаём каталог MOKO,В очереди,Тематика по метаданным; содержание не просмотрено полностью,,,"Название, текущие плейлисты и исходная обложка"
53,S1q0p8HLVqY,MOKO SE - Создание PDF документов,https://www.youtube.com/watch?v=S1q0p8HLVqY,Видео,MOKO SE - Платформа для автоматизации измерений,MOKO SE — возможности и инструкции,6,,MOKO SE · Инструкции,#55D6C2,Не подтверждён / не применимо,Видео,,Создаём PDF,В очереди,Тематика по метаданным; содержание не просмотрено полностью,,,"Название, текущие плейлисты и исходная обложка"
54,dOhiPXQIljo,Управление запуском скриптов. MOKO SE.,https://www.youtube.com/watch?v=dOhiPXQIljo,Видео,MOKO SE - Платформа для автоматизации измерений,MOKO SE — возможности и инструкции,4,,MOKO SE · Инструкции,#55D6C2,Не подтверждён / не применимо,Видео,,Запуск скриптов,В очереди,Тематика по метаданным; содержание не просмотрено полностью,Проверить версию программы и актуальность интерфейса перед финальной обложкой.,,"Название, текущие плейлисты и исходная обложка"
55,2BudDX-Tjqc,Контроллер управления холодильниками ATLANT + мобильное приложение,https://www.youtube.com/watch?v=2BudDX-Tjqc,Видео,MOKO - решения и обзоры,Электроника и оборудование — проекты MOKO,4,,Практика · Электроника,#55C9FF,Не подтверждён / не применимо,Видео,,Контроллер ATLANT,В очереди,Тематика по метаданным; содержание не просмотрено полностью,,,"Название, текущие плейлисты и исходная обложка"
56,VeR-7cU_-Mc,БелЭнергоКип - промо ролик,https://www.youtube.com/watch?v=VeR-7cU_-Mc,Видео,МОКО - Промо ролики,Медиапроекты MOKO — промо и съёмки,3,,Медиа · Портфолио,#B69AFF,Не подтверждён / не применимо,Промо,,БелЭнергоКип / промо,В очереди,Тематика по метаданным; содержание не просмотрено полностью,,,"Название, текущие плейлисты и исходная обложка"
57,ASLRmlpA5Xw,Модернизированный аппарат для упаковки от компании МОКО.,https://www.youtube.com/watch?v=ASLRmlpA5Xw,Видео,MOKO - решения и обзоры,Электроника и оборудование — проекты MOKO,5,,Практика · Электроника,#55C9FF,Не подтверждён / не применимо,Видео,,Модернизация упаковки,В очереди,Тематика по метаданным; содержание не просмотрено полностью,,,"Название, текущие плейлисты и исходная обложка"
58,9sQpjOUh7f4,Презентация плагина MOKO GRAPH,https://www.youtube.com/watch?v=9sQpjOUh7f4,Видео,MOKO SE - Платформа для автоматизации измерений,MOKO SE — возможности и инструкции,12,"Разработка ПО — практика, инструменты и стримы",MOKO SE · Инструкции,#55D6C2,Не подтверждён / не применимо,Видео,,Знакомство с MOKO Graph,В очереди,Тематика по метаданным; содержание не просмотрено полностью,,,"Название, текущие плейлисты и исходная обложка"
59,cA1GXKStbMA,Вставка спец символов в MOKO SE,https://www.youtube.com/watch?v=cA1GXKStbMA,Видео,MOKO SE - Платформа для автоматизации измерений,MOKO SE — возможности и инструкции,11,,MOKO SE · Инструкции,#55D6C2,Не подтверждён / не применимо,Видео,,Спецсимволы в MOKO SE,В очереди,Тематика по метаданным; содержание не просмотрено полностью,,,"Название, текущие плейлисты и исходная обложка"
60,4Ot8GxQA6Yc,Медиа услуги MOKO,https://www.youtube.com/watch?v=4Ot8GxQA6Yc,Видео,МОКО - Промо ролики; MOKO - решения и обзоры,Медиапроекты MOKO — промо и съёмки,4,,Медиа · Портфолио,#B69AFF,Не подтверждён / не применимо,Промо,,Медиауслуги MOKO,В очереди,Тематика по метаданным; содержание не просмотрено полностью,,,"Название, текущие плейлисты и исходная обложка"
